row_id,entity_id,timestamp,split,feature_linear,feature_corr,feature_big_scale,feature_small_scale,sensor_value,category,text_note,target
20,1019,2024-01-20,train,1.816481,3.071469,14610.562251,0.0323,54.006,A,Entity 1019 in train had activity level 1.816 and category A.,0
21,1020,2024-01-21,train,-0.20591,-0.717495,17035.02962,0.016105,44.22,A,Entity 1020 in train had activity level -0.206 and category A.,0
22,1021,2024-01-22,train,0.682038,1.139085,15850.667043,0.009992,38.529,C,Entity 1021 in train had activity level 0.682 and category C.,1
23,1022,2024-01-23,train,1.996668,3.791784,101825.978241,0.033948,48.601,A,Entity 1022 in train had activity level 1.997 and category A.,1
24,1023,2024-01-24,train,1.035647,1.504623,80221.31442,0.010608,43.368,B,Entity 1023 in train had activity level 1.036 and category B.,0
25,1024,2024-01-25,train,-1.570065,-3.103355,17371.136102,0.038748,43.724,B,Entity 1024 in train had activity level -1.570 and category B.,0
26,1025,2024-01-26,train,-0.360243,-1.114987,10456.983629,0.006297,46.519,D,Entity 1025 in train had activity level -0.360 and category D.,0
27,1026,2024-01-27,train,0.049262,0.204301,19346.388242,0.023781,42.986,B,Entity 1026 in train had activity level 0.049 and category B.,0
28,1027,2024-01-28,train,-0.640951,-1.118833,49617.037933,0.009547,41.41,A,Entity 1027 in train had activity level -0.641 and category A.,0
29,1028,2024-01-29,train,1.043932,2.090699,302654.054937,0.00293,47.777,A,Entity 1028 in train had activity level 1.044 and category A.,0
30,1029,2024-01-30,train,-0.88187,-1.763519,16620.852723,0.03335,32.381,B,Entity 1029 in train had activity level -0.882 and category B.,1
31,1030,2024-01-31,train,0.36248,0.519384,3183.826836,0.005372,36.911,A,Entity 1030 in train had activity level 0.362 and category A.,0
32,1031,2024-02-01,train,-0.274809,-0.552138,5592.828603,0.02537,34.485,A,Entity 1031 in train had activity level -0.275 and category A.,0
33,1032,2024-02-02,train,-0.749534,-1.342317,60291.561039,0.025485,43.073,A,Entity 1032 in train had activity level -0.750 and category A.,1
34,1033,2024-02-03,train,-0.353912,-0.266603,27821.116562,0.036157,47.024,A,Entity 1033 in train had activity level -0.354 and category A.,0
35,1034,2024-02-04,train,-0.80473,-1.089123,19100.131494,0.035957,34.184,A,Entity 1034 in train had activity level -0.805 and category A.,0
36,1035,2024-02-05,train,1.099972,1.835117,23451.763987,0.006182,56.194,C,Entity 1035 in train had activity level 1.100 and category C.,0
37,1036,2024-02-06,train,1.694281,3.27487,3459.599285,0.032089,58.789,C,Entity 1036 in train had activity level 1.694 and category C.,1
38,1037,2024-02-07,train,1.837365,3.793161,2609.177842,0.008897,46.423,C,Entity 1037 in train had activity level 1.837 and category C.,1
39,1038,2024-02-08,train,0.680288,1.313899,4214.59732,0.038676,54.834,A,Entity 1038 in train had activity level 0.680 and category A.,0
40,1039,2024-02-09,train,1.744177,3.415013,9005.764352,0.038816,53.321,A,Entity 1039 in train had activity level 1.744 and category A.,0
41,1040,2024-02-10,train,-0.12244,-0.421788,4229.998195,0.015408,41.324,B,Entity 1040 in train had activity level -0.122 and category B.,0
42,1041,2024-02-11,train,-0.059057,-0.452771,7395.472771,0.029678,43.707,B,Entity 1041 in train had activity level -0.059 and category B.,0
43,1042,2024-02-12,train,-0.796695,-1.120649,9231.997846,0.012371,39.035,A,Entity 1042 in train had activity level -0.797 and category A.,0
44,1043,2024-02-13,train,0.525524,1.306429,6245.364928,0.036112,,B,Entity 1043 in train had activity level 0.526 and category B.,0
45,1044,2024-02-14,train,-1.250985,-2.253305,5765.828511,0.017686,37.34,A,Entity 1044 in train had activity level -1.251 and category A.,0
46,1045,2024-02-15,train,-1.089227,-1.841408,19960.632934,0.025318,45.078,A,Entity 1045 in train had activity level -1.089 and category A.,0
47,1046,2024-02-16,train,0.073371,0.185853,11235.849017,0.03399,50.312,A,Entity 1046 in train had activity level 0.073 and category A.,0
48,1047,2024-02-17,train,-0.502633,-1.119442,11119.936706,0.026242,43.639,A,Entity 1047 in train had activity level -0.503 and category A.,0
49,1048,2024-02-18,train,1.186997,2.750201,7872.332232,0.009968,48.161,C,Entity 1048 in train had activity level 1.187 and category C.,0
50,1049,2024-02-19,train,-1.47774,-3.25229,2719.785457,0.035657,39.839,B,Entity 1049 in train had activity level -1.478 and category B.,0
51,1050,2024-02-20,train,1.383535,2.410233,5040.443725,0.00989,49.426,B,Entity 1050 in train had activity level 1.384 and category B.,0
52,1051,2024-02-21,train,-0.196694,-0.21421,15896.748089,0.010869,42.071,A,Entity 1051 in train had activity level -0.197 and category A.,0
53,1052,2024-02-22,train,-0.10346,-0.273749,3805.641302,0.016631,47.798,A,Entity 1052 in train had activity level -0.103 and category A.,0
54,1053,2024-02-23,train,-0.78292,-1.25466,2851.516109,0.015215,38.314,A,Entity 1053 in train had activity level -0.783 and category A.,0
55,1054,2024-02-24,train,-1.52144,-2.712925,2942.611409,0.008822,38.991,A,Entity 1054 in train had activity level -1.521 and category A.,0
56,1055,2024-02-25,train,0.172369,0.218533,15211.541431,0.018696,44.726,A,Entity 1055 in train had activity level 0.172 and category A.,0
57,1056,2024-02-26,train,1.484745,2.874507,22525.698895,0.002011,52.929,A,Entity 1056 in train had activity level 1.485 and category A.,0
58,1057,2024-02-27,train,1.573953,2.995758,1638.704786,0.010091,54.969,A,Entity 1057 in train had activity level 1.574 and category A.,0
59,1058,2024-02-28,train,-1.07465,-2.352339,4106.566092,0.037984,,A,Entity 1058 in train had activity level -1.075 and category A.,0
60,1059,2024-02-29,train,0.446028,0.705478,8231.807351,0.027979,49.287,B,Entity 1059 in train had activity level 0.446 and category B.,1
61,1060,2024-03-01,train,1.14545,1.660464,12933.188413,0.012478,48.852,B,Entity 1060 in train had activity level 1.145 and category B.,1
62,1061,2024-03-02,train,1.005987,1.79871,2927.420412,0.004076,51.409,B,Entity 1061 in train had activity level 1.006 and category B.,0
63,1062,2024-03-03,train,0.19746,0.176246,4553.478622,0.020238,47.436,A,Entity 1062 in train had activity level 0.197 and category A.,0
64,1063,2024-03-04,train,-0.445577,-1.118756,2634.465362,0.028292,42.566,A,Entity 1063 in train had activity level -0.446 and category A.,0
65,1064,2024-03-05,train,-1.172424,-2.287682,2441.743555,0.010736,44.589,C,Entity 1064 in train had activity level -1.172 and category C.,0
66,1065,2024-03-06,train,1.123652,1.840291,14647.494934,0.01516,49.836,A,Entity 1065 in train had activity level 1.124 and category A.,0
67,1066,2024-03-07,train,-1.16319,-1.827826,8495.344485,0.000406,,C,Entity 1066 in train had activity level -1.163 and category C.,0
68,1067,2024-03-08,train,-1.194539,-2.385195,2830.713958,0.019633,44.311,B,Entity 1067 in train had activity level -1.195 and category B.,0
69,1068,2024-03-09,train,-1.036204,-2.090923,3854.596582,0.029837,41.184,A,Entity 1068 in train had activity level -1.036 and category A.,0
70,1069,2024-03-10,train,0.792152,1.544277,17365.273416,0.021435,48.463,B,Entity 1069 in train had activity level 0.792 and category B.,0
71,1070,2024-03-11,train,1.266742,2.367515,9850.906144,0.007765,50.574,A,Entity 1070 in train had activity level 1.267 and category A.,1
72,1071,2024-03-12,train,0.115219,0.494603,8829.971625,0.027897,48.865,A,Entity 1071 in train had activity level 0.115 and category A.,0
73,1072,2024-03-13,train,-1.11067,-2.064967,12335.743532,0.037643,43.229,A,Entity 1072 in train had activity level -1.111 and category A.,0
74,1073,2024-03-14,train,0.240665,0.575298,13068.438496,0.022514,47.932,A,Entity 1073 in train had activity level 0.241 and category A.,0
75,1074,2024-03-15,train,0.190149,0.209058,3665.574232,0.017709,44.836,C,Entity 1074 in train had activity level 0.190 and category C.,0
76,1075,2024-03-16,train,1.375039,2.579327,959.433594,0.008312,47.447,A,Entity 1075 in train had activity level 1.375 and category A.,1
77,1076,2024-03-17,train,1.148859,2.18688,5433.393568,0.009259,46.141,B,Entity 1076 in train had activity level 1.149 and category B.,0
78,1077,2024-03-18,train,0.456079,0.939105,2775.96176,0.026447,41.246,C,Entity 1077 in train had activity level 0.456 and category C.,0
79,1078,2024-03-19,train,0.187176,0.280577,16685.024329,0.029958,48.857,B,Entity 1078 in train had activity level 0.187 and category B.,0
80,1079,2024-03-20,train,1.129641,2.388892,7149.725137,0.019752,52.8,A,Entity 1079 in train had activity level 1.130 and category A.,0
81,1080,2024-03-21,train,2.254376,4.588627,21225.281133,0.038031,46.262,D,Entity 1080 in train had activity level 2.254 and category D.,0
82,1081,2024-03-22,train,0.298648,0.253464,14152.746923,0.036643,40.345,A,Entity 1081 in train had activity level 0.299 and category A.,1
83,1082,2024-03-23,train,-0.545905,-0.875472,4188.631454,0.013192,35.68,B,Entity 1082 in train had activity level -0.546 and category B.,0
84,1083,2024-03-24,train,-0.649698,-1.417969,13814.158275,0.012931,38.722,D,Entity 1083 in train had activity level -0.650 and category D.,0
85,1084,2024-03-25,train,-1.045654,-2.046818,15557.42403,0.030258,46.013,B,Entity 1084 in train had activity level -1.046 and category B.,0
86,1085,2024-03-26,train,1.269445,2.096806,19475.86417,0.004857,45.975,D,Entity 1085 in train had activity level 1.269 and category D.,0
87,1086,2024-03-27,train,-0.439676,-0.866763,98420.676198,0.018458,43.285,A,Entity 1086 in train had activity level -0.440 and category A.,0
88,1087,2024-03-28,train,0.017019,-0.028882,70756.618905,0.03921,40.849,A,Entity 1087 in train had activity level 0.017 and category A.,0
89,1088,2024-03-29,train,1.522942,2.591389,8103.33142,0.016598,57.107,C,Entity 1088 in train had activity level 1.523 and category C.,1
90,1089,2024-03-30,train,-0.773442,-2.163539,1591.237068,0.019586,38.815,A,Entity 1089 in train had activity level -0.773 and category A.,0
91,1090,2024-03-31,train,-0.889104,-1.635614,19370.308559,0.022872,48.959,A,Entity 1090 in train had activity level -0.889 and category A.,0
92,1091,2024-04-01,train,0.469898,0.974593,4336.770716,0.026548,,C,Entity 1091 in train had activity level 0.470 and category C.,0
93,1092,2024-04-02,train,-1.788529,-3.636618,23109.725142,0.021038,36.547,A,Entity 1092 in train had activity level -1.789 and category A.,0
94,1093,2024-04-03,train,0.820739,0.989607,17903.300543,0.013542,42.123,B,Entity 1093 in train had activity level 0.821 and category B.,0
95,1094,2024-04-04,train,-0.667983,-1.137754,7788.711616,0.034895,35.68,A,Entity 1094 in train had activity level -0.668 and category A.,0
96,1095,2024-04-05,train,-1.736049,-3.303261,3727.236468,0.003938,43.532,B,Entity 1095 in train had activity level -1.736 and category B.,0
97,1096,2024-04-06,train,1.794975,3.522261,8343.323234,0.005823,54.227,A,Entity 1096 in train had activity level 1.795 and category A.,1
98,1097,2024-04-07,train,-0.61821,-0.964007,3949.883191,0.009633,46.383,C,Entity 1097 in train had activity level -0.618 and category C.,0
99,1098,2024-04-08,train,1.894189,3.622421,36829.529727,0.006319,46.366,A,Entity 1098 in train had activity level 1.894 and category A.,0
100,1099,2024-04-09,train,-0.78367,-1.489236,74762.117023,0.007969,39.513,A,Entity 1099 in train had activity level -0.784 and category A.,0
101,1100,2024-04-10,train,0.877423,1.658656,46229.489667,0.010979,46.546,B,Entity 1100 in train had activity level 0.877 and category B.,0
102,1101,2024-04-11,train,-0.332806,-1.108675,11323.16784,0.011448,40.788,B,Entity 1101 in train had activity level -0.333 and category B.,0
103,1102,2024-04-12,train,-0.735521,-1.713393,3861.764392,0.02513,35.711,C,Entity 1102 in train had activity level -0.736 and category C.,0
104,1103,2024-04-13,train,1.055409,1.9947,7031.117145,0.011804,49.034,B,Entity 1103 in train had activity level 1.055 and category B.,0
105,1104,2024-04-14,train,-2.279557,-4.424923,15730.975071,0.032988,35.583,A,Entity 1104 in train had activity level -2.280 and category A.,0
106,1105,2024-04-15,train,-0.954724,-1.696072,9535.848222,0.03866,40.297,C,Entity 1105 in train had activity level -0.955 and category C.,0
107,1106,2024-04-16,train,-1.234816,-2.055552,37256.546721,0.018191,42.03,B,Entity 1106 in train had activity level -1.235 and category B.,0
108,1107,2024-04-17,train,-0.989084,-1.754484,17144.486814,0.001001,32.968,C,Entity 1107 in train had activity level -0.989 and category C.,0
109,1108,2024-04-18,train,1.029857,1.525599,7786.347422,0.005591,52.248,C,Entity 1108 in train had activity level 1.030 and category C.,0
110,1109,2024-04-19,train,0.021996,0.201002,24782.022339,0.026819,49.484,B,Entity 1109 in train had activity level 0.022 and category B.,0
111,1110,2024-04-20,train,-0.412552,-0.732644,3897.994471,0.038061,44.153,A,Entity 1110 in train had activity level -0.413 and category A.,0
112,1111,2024-04-21,train,0.89679,1.975484,26353.092119,0.021779,44.65,D,Entity 1111 in train had activity level 0.897 and category D.,1
113,1112,2024-04-22,train,0.668093,1.071615,5133.417441,0.023886,41.368,A,Entity 1112 in train had activity level 0.668 and category A.,0
114,1113,2024-04-23,train,0.544318,1.374438,22056.987656,0.008286,49.268,A,Entity 1113 in train had activity level 0.544 and category A.,0
115,1114,2024-04-24,train,2.075801,3.951771,14978.142925,0.010026,52.686,A,Entity 1114 in train had activity level 2.076 and category A.,0
116,1115,2024-04-25,train,0.029303,0.070417,26162.859634,0.00697,44.796,A,Entity 1115 in train had activity level 0.029 and category A.,0
117,1116,2024-04-26,train,0.220659,0.159335,27086.371057,0.037817,48.989,A,Entity 1116 in train had activity level 0.221 and category A.,0
118,1117,2024-04-27,train,-0.945664,-1.720805,10003.407496,0.019159,40.31,A,Entity 1117 in train had activity level -0.946 and category A.,0
119,1118,2024-04-28,train,1.256307,2.533401,22578.381793,0.025323,49.965,A,Entity 1118 in train had activity level 1.256 and category A.,0
120,1119,2024-04-29,train,-0.043579,-0.162086,8176.170896,0.028071,40.386,C,Entity 1119 in train had activity level -0.044 and category C.,0
121,1120,2024-04-30,train,-0.721539,-1.323431,6046.843969,0.01664,47.174,A,Entity 1120 in train had activity level -0.722 and category A.,0
122,1121,2024-05-01,train,-0.875558,-1.590959,9105.497947,0.033271,48.606,A,Entity 1121 in train had activity level -0.876 and category A.,0
123,1122,2024-05-02,train,-1.154271,-2.339164,8476.681268,0.014144,43.784,B,Entity 1122 in train had activity level -1.154 and category B.,0
124,1123,2024-05-03,train,-1.236797,-2.515295,6253.827694,0.023117,39.764,A,Entity 1123 in train had activity level -1.237 and category A.,0
125,1124,2024-05-04,train,-1.198933,-2.002114,2140.31727,0.033806,37.977,D,Entity 1124 in train had activity level -1.199 and category D.,1
126,1125,2024-05-05,train,-0.986051,-1.500113,4814.913668,0.010698,41.106,A,Entity 1125 in train had activity level -0.986 and category A.,1
127,1126,2024-05-06,train,0.928258,1.556219,6911.530082,0.025327,49.052,A,Entity 1126 in train had activity level 0.928 and category A.,0
128,1127,2024-05-07,train,1.069479,1.791088,34733.526707,0.031073,49.268,B,Entity 1127 in train had activity level 1.069 and category B.,0
129,1128,2024-05-08,train,-0.38474,-0.886714,5908.192889,0.017682,39.508,A,Entity 1128 in train had activity level -0.385 and category A.,0
130,1129,2024-05-09,train,0.729926,1.276507,3827.31998,0.026685,,A,Entity 1129 in train had activity level 0.730 and category A.,0
131,1130,2024-05-10,train,0.137592,0.377433,10500.25019,0.000309,49.396,B,Entity 1130 in train had activity level 0.138 and category B.,0
132,1131,2024-05-11,train,1.119494,2.326359,2255.918484,0.002883,48.979,C,Entity 1131 in train had activity level 1.119 and category C.,0
133,1132,2024-05-12,train,-1.218203,-2.446176,8335.504754,0.004607,37.06,A,Entity 1132 in train had activity level -1.218 and category A.,0
134,1133,2024-05-13,train,-1.381843,-2.542756,8800.765203,0.033779,36.481,A,Entity 1133 in train had activity level -1.382 and category A.,0
135,1134,2024-05-14,train,-0.503956,-0.790002,19499.657525,0.004561,48.272,A,Entity 1134 in train had activity level -0.504 and category A.,0
136,1135,2024-05-15,train,1.373449,2.673738,5520.981449,0.005858,42.761,A,Entity 1135 in train had activity level 1.373 and category A.,1
137,1136,2024-05-16,train,0.175371,0.079012,11353.202798,0.017956,37.893,C,Entity 1136 in train had activity level 0.175 and category C.,0
138,1137,2024-05-17,train,-1.104233,-2.18579,7186.420356,0.002731,40.733,A,Entity 1137 in train had activity level -1.104 and category A.,0
139,1138,2024-05-18,train,-0.426632,-0.586508,63487.509318,0.003069,46.778,C,Entity 1138 in train had activity level -0.427 and category C.,0
140,1139,2024-05-19,train,-0.82597,-1.936623,5985.666795,0.035835,45.087,A,Entity 1139 in train had activity level -0.826 and category A.,0
141,1140,2024-05-20,train,0.218938,0.479844,59563.644026,0.013738,51.449,B,Entity 1140 in train had activity level 0.219 and category B.,0
142,1141,2024-05-21,train,0.700331,1.082191,17016.482631,0.00635,46.014,A,Entity 1141 in train had activity level 0.700 and category A.,0
143,1142,2024-05-22,train,0.369852,0.394701,16284.958578,0.027135,46.842,A,Entity 1142 in train had activity level 0.370 and category A.,0
144,1143,2024-05-23,train,-1.902494,-3.760221,34029.255307,0.005657,46.498,A,Entity 1143 in train had activity level -1.902 and category A.,0
145,1144,2024-05-24,train,0.836092,1.51666,3054.884037,0.032527,52.917,B,Entity 1144 in train had activity level 0.836 and category B.,0
146,1145,2024-05-25,train,-1.592927,-3.166884,4706.810733,0.014473,41.865,A,Entity 1145 in train had activity level -1.593 and category A.,0
147,1146,2024-05-26,train,0.083889,0.277784,59683.770313,0.004046,49.281,B,Entity 1146 in train had activity level 0.084 and category B.,0
148,1147,2024-05-27,train,-0.19443,-0.357491,6392.122792,0.015069,48.235,A,Entity 1147 in train had activity level -0.194 and category A.,0
149,1148,2024-05-28,train,-0.998343,-1.810475,7795.944986,0.017768,39.239,A,Entity 1148 in train had activity level -0.998 and category A.,0
150,1149,2024-05-29,train,0.409279,0.866762,3790.91362,0.033405,58.421,A,Entity 1149 in train had activity level 0.409 and category A.,0
151,1150,2024-05-30,train,-0.9475,-1.618171,65610.641682,0.03205,40.603,A,Entity 1150 in train had activity level -0.948 and category A.,0
152,1151,2024-05-31,train,-1.657154,-2.808495,34618.315295,0.034047,40.656,A,Entity 1151 in train had activity level -1.657 and category A.,0
153,1152,2024-06-01,train,-2.34671,-4.254985,13115.235825,0.013983,43.282,A,Entity 1152 in train had activity level -2.347 and category A.,0
154,1153,2024-06-02,train,-0.00971,-0.05563,12826.42257,0.037233,,C,Entity 1153 in train had activity level -0.010 and category C.,0
155,1154,2024-06-03,train,0.778562,1.181485,29612.030551,0.017944,52.568,A,Entity 1154 in train had activity level 0.779 and category A.,0
156,1155,2024-06-04,train,1.991732,3.745874,3221.503568,0.004447,50.132,A,Entity 1155 in train had activity level 1.992 and category A.,0
157,1156,2024-06-05,train,-0.490635,-0.903815,33039.085701,0.000657,40.222,A,Entity 1156 in train had activity level -0.491 and category A.,0
158,1157,2024-06-06,train,0.872518,1.671316,30526.602586,0.026575,49.106,A,Entity 1157 in train had activity level 0.873 and category A.,0
159,1158,2024-06-07,train,1.331012,2.508439,4535.165587,0.025427,51.949,D,Entity 1158 in train had activity level 1.331 and category D.,1
160,1159,2024-06-08,train,0.18856,0.325153,2674.034298,0.03086,44.856,B,Entity 1159 in train had activity level 0.189 and category B.,0
161,1160,2024-06-09,train,0.827554,1.913125,2406.952125,0.025269,,C,Entity 1160 in train had activity level 0.828 and category C.,0
162,1161,2024-06-10,train,-1.145874,-2.035933,12982.654706,0.001676,28.323,C,Entity 1161 in train had activity level -1.146 and category C.,0
163,1162,2024-06-11,train,0.014139,-0.116387,3659.783347,0.034632,51.175,A,Entity 1162 in train had activity level 0.014 and category A.,0
164,1163,2024-06-12,train,1.625158,3.259375,5897.5276,0.038949,39.327,A,Entity 1163 in train had activity level 1.625 and category A.,0
165,1164,2024-06-13,train,-0.061101,-0.204379,2448.319012,0.021819,39.808,A,Entity 1164 in train had activity level -0.061 and category A.,0
166,1165,2024-06-14,train,-0.761266,-1.74738,21484.739101,0.014062,45.742,A,Entity 1165 in train had activity level -0.761 and category A.,0
167,1166,2024-06-15,train,2.532389,4.744601,38532.28238,0.014532,55.003,C,Entity 1166 in train had activity level 2.532 and category C.,1
168,1167,2024-06-16,train,-0.170365,-0.312248,8341.993736,0.002689,41.572,B,Entity 1167 in train had activity level -0.170 and category B.,0
169,1168,2024-06-17,train,-1.103687,-2.581008,3336.855877,0.022957,47.41,A,Entity 1168 in train had activity level -1.104 and category A.,0
170,1169,2024-06-18,train,-0.642471,-1.243947,3357.82885,0.015479,42.943,B,Entity 1169 in train had activity level -0.642 and category B.,0
171,1170,2024-06-19,train,-0.518666,-0.507436,6498.468109,0.034113,43.675,A,Entity 1170 in train had activity level -0.519 and category A.,0
172,1171,2024-06-20,train,0.152177,0.398176,5249.471359,0.013897,36.276,A,Entity 1171 in train had activity level 0.152 and category A.,0
173,1172,2024-06-21,train,1.342927,2.413332,14962.976248,0.004854,43.596,A,Entity 1172 in train had activity level 1.343 and category A.,0
174,1173,2024-06-22,train,-0.23459,-0.715478,40694.243316,0.022066,47.66,B,Entity 1173 in train had activity level -0.235 and category B.,0
175,1174,2024-06-23,train,-1.774572,-3.432244,12889.100686,0.038895,38.453,B,Entity 1174 in train had activity level -1.775 and category B.,0
176,1175,2024-06-24,train,-0.873496,-1.600222,2661.892024,0.007279,,D,Entity 1175 in train had activity level -0.873 and category D.,0
177,1176,2024-06-25,train,0.360495,0.793155,5415.778955,0.013841,52.359,C,Entity 1176 in train had activity level 0.360 and category C.,0
178,1177,2024-06-26,train,-0.657014,-1.356345,9206.529974,0.012113,40.426,A,Entity 1177 in train had activity level -0.657 and category A.,0
179,1178,2024-06-27,train,-0.909753,-2.023672,2372.786774,0.022545,,C,Entity 1178 in train had activity level -0.910 and category C.,0
180,1179,2024-06-28,train,0.423759,0.586596,2703.165609,0.016663,39.866,B,Entity 1179 in train had activity level 0.424 and category B.,0
181,1180,2024-06-29,train,-1.886774,-3.542345,7756.808414,0.002919,36.247,A,Entity 1180 in train had activity level -1.887 and category A.,0
182,1181,2024-06-30,train,0.070076,-0.00105,47123.225738,0.029368,47.55,C,Entity 1181 in train had activity level 0.070 and category C.,0
183,1182,2024-07-01,train,-0.49521,-0.717184,9970.397265,0.003872,46.99,A,Entity 1182 in train had activity level -0.495 and category A.,0
184,1183,2024-07-02,train,-0.526001,-0.894095,22952.98035,0.023107,43.962,A,Entity 1183 in train had activity level -0.526 and category A.,0
185,1184,2024-07-03,train,-0.081765,-0.110897,33096.43891,0.038667,42.97,A,Entity 1184 in train had activity level -0.082 and category A.,0
186,1185,2024-07-04,train,0.383182,0.58763,4273.713056,0.021468,37.624,C,Entity 1185 in train had activity level 0.383 and category C.,0
187,1186,2024-07-05,train,-0.707201,-1.177592,5974.127667,0.022129,41.754,A,Entity 1186 in train had activity level -0.707 and category A.,0
188,1187,2024-07-06,train,-0.847105,-1.656361,6866.791486,0.039003,43.768,A,Entity 1187 in train had activity level -0.847 and category A.,0
189,1188,2024-07-07,train,0.394118,0.997942,7987.011283,0.005481,46.103,A,Entity 1188 in train had activity level 0.394 and category A.,0
190,1189,2024-07-08,train,0.38273,0.58454,36536.048629,0.0065,45.817,D,Entity 1189 in train had activity level 0.383 and category D.,0
191,1190,2024-07-09,train,-1.615297,-3.138798,6148.809654,0.014734,48.352,B,Entity 1190 in train had activity level -1.615 and category B.,0
192,1191,2024-07-10,train,-0.940952,-1.807214,8734.62054,0.018984,43.964,D,Entity 1191 in train had activity level -0.941 and category D.,0
193,1192,2024-07-11,train,-0.555641,-1.123118,4154.521776,0.033647,38.909,A,Entity 1192 in train had activity level -0.556 and category A.,0
194,1193,2024-07-12,train,0.503494,1.146176,12004.962247,0.006057,39.838,B,Entity 1193 in train had activity level 0.503 and category B.,0
195,1194,2024-07-13,train,-0.033464,-0.142167,16829.87345,0.013002,47.246,B,Entity 1194 in train had activity level -0.033 and category B.,0
196,1195,2024-07-14,train,0.596294,1.020174,23679.653298,0.03088,42.371,B,Entity 1195 in train had activity level 0.596 and category B.,0
197,1196,2024-07-15,train,0.029346,0.336851,16523.733433,0.011905,57.021,A,Entity 1196 in train had activity level 0.029 and category A.,0
198,1197,2024-07-16,train,-0.880529,-1.31461,5267.251611,0.010938,40.578,A,Entity 1197 in train had activity level -0.881 and category A.,0
199,1198,2024-07-17,train,1.820798,3.347662,8804.233094,0.028566,53.685,A,Entity 1198 in train had activity level 1.821 and category A.,1
200,1199,2024-07-18,train,1.198187,1.779952,6197.830312,0.027847,43.884,A,Entity 1199 in train had activity level 1.198 and category A.,0
201,1200,2024-07-19,train,-1.468348,-2.850638,28771.09276,0.028694,42.394,A,Entity 1200 in train had activity level -1.468 and category A.,0
202,1201,2024-07-20,train,0.043213,-0.346805,39384.726299,0.035136,48.743,A,Entity 1201 in train had activity level 0.043 and category A.,0
203,1202,2024-07-21,train,0.38063,0.671124,3583.754546,0.028925,43.564,C,Entity 1202 in train had activity level 0.381 and category C.,1
204,1203,2024-07-22,train,1.935511,4.337091,2064.807333,0.01588,61.033,A,Entity 1203 in train had activity level 1.936 and category A.,0
205,1204,2024-07-23,train,1.358035,2.596854,100717.553297,0.011382,56.821,D,Entity 1204 in train had activity level 1.358 and category D.,0
206,1205,2024-07-24,train,0.094842,0.039103,12341.307315,0.004506,41.91,A,Entity 1205 in train had activity level 0.095 and category A.,0
207,1206,2024-07-25,train,0.344569,0.379025,11142.192785,0.034246,43.172,C,Entity 1206 in train had activity level 0.345 and category C.,0
